SOURCE	TARGET
الإنسان	الناس	REPLACE_OD+REPLACE_OR
طلبوا	حمدوا	REPLACE_SW
الله	الله	UC
	على	INSERT_XM
نعمته	نعمته	UC
بعض	بعض	UC
الناس	الناس	UC
مأنوا	ماتوا	REPLACE_OH
في	في	UC
المسجد	المسجد	UC
الحرام	الحرام	UC
أتمنى	أتمنى	UC
كل	كل	UC
وقت	وقت	UC
أن	أن	UC
أسكن	أسكن	UC
فيها	فيها	UC
ولكن	ولكن	UC
لا	لا	UC
أستطيع	أستطيع	UC
لأن	لأني	REPLACE_XM
سفرت	سافرت	REPLACE_OH+REPLACE_OM
واحدا	وحيدا	REPLACE_OR
أخاف	وأخاف	REPLACE_MI
أن	أن	UC
أصعب	أستصعب	REPLACE_OM
في		DELETE_XM
العيش	العيش	UC
	هناك	INSERT_XM
بعد	بعد	UC
ذلك	ذلك	UC
أعود	عدت	REPLACE_MT
إلى	إلى	UC
جامعتي	جامعتي	UC
وأرتب	ورتبت	REPLACE_MT
مسكني	مسكني	UC
وأشتد	وبدأت	REPLACE_SW
الدراسة	الدراسة	UC

التخصص	التخصص	UC
الذي	الذي	UC
أريده	أريده	UC
هناك	هناك	UC
طلاب	طلاب	UC
يريد	يريد	UC
كل	كل	UC
واحد	واحد	UC
منهم	منهم	UC
أن	أن	UC
يتخصص	يتخصص	UC
في	في	UC
أي	أي	UC
دراسة	دراسة	UC
يريدها	يريدها	UC
فأما	فأما	UC
أنا	أنا	UC
أريد	أريد	UC
أن	أن	UC
أتخصص	أتخصص	UC
في	في	UC
اللغة	اللغة	UC
العربية	العربية	UC
لأن	لأن	UC
بلدي	بلدي	UC
يحتاج	يحتاج	UC
إلى	إلى	UC
من	من	UC
تخصص	تخصص	UC
باللغة	باللغة	UC
العربية	العربية	UC
ولأن	ولأن	UC
هناك	هناك	UC
من	من	UC
يتكلمون	يتكلمون	UC
اللغة	اللغة	UC
العربية	العربية	UC
خطأ	خطأ	UC
ويدرسونها	ويدرسونها	UC
خطأ	خطأ	UC
فأريد	فأريد	UC
أن	أن	UC
أجعل	أجعل	UC
في	في	UC
بلد	بلدي	REPLACE_XN
من	من	UC
يحسن	يحسن	UC
اللغة	اللغة	UC
العربية	العربية	UC
كأنها	لأنها	REPLACE_OR
لغة	لغة	UC
القرآن	القرآن	UC
والسنة	والسنة	UC
فشأن	فشأن	UC
اختياري	اختياري	UC
التخصص	التخصص	UC
في	في	UC
اللغة	اللغة	UC
العربية	العربية	UC
أن	أن	UC
في	في	UC
بلدي	بلدي	UC
من	من	UC
تخصص	تخصص	UC
في	في	UC
علوم	علوم	UC
الحاسب	الحاسب	UC
والشريعة	والشريعة	UC
وغير	وغير	UC
ذلك	ذلك	UC
فالله	فالله	UC
ولي	ولي	UC
التوفيق	التوفيق	UC
أسأل	أسأل	UC
الله	الله	UC
العافية	العافية	UC
والسداد	والسداد	UC
في	في	UC
الدارين	الدارين	UC

تخصصي	تخصصي	UC
في	في	UC
المستقبل	المستقبل	UC
الحمد	الحمد	UC
لله	لله	UC
رب	رب	UC
العالمين	العالمين	UC
والصلاة	والصلاة	UC
والسلام	والسلام	UC
على	على	UC
أشرف	أشرف	UC
الأنبياء	الأنبياء	UC
والمرسلين	والمرسلين	UC
أما	أما	UC
بعد	بعد	UC
كنت	كنت	UC
أدرس	أدرس	UC
في	في	UC
مدرسة	مدرسة	UC
الحكومية	حكومية	REPLACE_XF
وشرح	وشرح	UC
الله	الله	UC
صدري	صدري	UC
أن	أن	UC
أتعلم	أتعلم	UC
اللغة	اللغة	UC
العربية	العربية	UC
بعدما	بعدما	UC
انتهيت	أنهيت	REPLACE_OH
الثانوية	الثانوية	UC
دخلت	دخلت	UC
المدرسة	المدرسة	UC
العربية	العربية	UC
في	في	UC
بلدي	بلدي	UC
كي	كي	UC
أفهم	أفهم	UC
القرآن	القرآن	UC
الكريم	الكريم	UC
والسنة	والسنة	UC
النبوية	النبوية	UC
حينما	حينما	UC
بدأت	بدأت	UC
دراستي	دراستي	UC
العربية	العربية	UC
واجهت	واجهت	UC
الصعوبات	الصعوبات	UC
في	في	UC
أولها	أولها	UC
ولكن	ولكن	UC
سهلني	سهل لي	REPLACE_O
الله	الله	UC
بعد	بعد	UC
فترة	فترة	UC
كما	كما	UC
يقول	يقول	UC
سبحانه	سبحانه	UC
وتعالى	وتعالى	UC
أن	إن	REPLACE_OH
مع	مع	UC
العسر	العسر	UC
يسري	يسرا	REPLACE_OA
وخلال	وخلال	UC
دراستي	دراستي	UC
العربية	العربية	UC
شاركت	شاركت	UC
في	في	UC
مقابلة	مقابلة	UC
لهذه	في هذه	REPLACE_S
الجامعة	الجامعة	UC
العريقة	العريقة	UC
وبعون	وبعون	UC
الله	الله	UC
قبلت	قبلت	UC
ولم	ولم	UC
أكن	أكن	UC
أتوقع	أتوقع	UC
عن		DELETE_XM
قبولي	قبولي	UC
ورزق ني	ورزقني	MERGE
الله	الله	UC
من	من	UC
حيث	حيث	UC
لا	لا	UC
أحتسب	أحتسب	UC
الحمد	الحمد	UC
لله	لله	UC
ولما	ولما	UC
جئت	جئت	UC
لهذه	إلى هذه	REPLACE_S
الجامعة	الجامعة	UC
دخلت	دخلت	UC
في	إلى	REPLACE_SW
معهد	معهد	UC
تعليم	تعليم	UC
اللغة	اللغة	UC
العربية	العربية	UC
في	في	UC
مستوى	المستوى	REPLACE_XF
الثاني	الثاني	UC
الآن	الآن	UC
في	في	UC
الدبلوم	الدبلوم	UC
الأول	الأول	UC
قد	قد	UC
فكرت	فكرت	UC
أن	أن	UC
أجعل	أجعل	UC
تخصصي	تخصصي	UC
في	في	UC
مجال	مجال	UC
الشريعة	الشريعة	UC
لأنني	لأنني	UC
ذو	ذو	UC
حاجة	حاجة	UC
في	إلى	REPLACE_SW
علوم	علوم	UC
الشريعة	الشريعة	UC
وكذلك	وكذلك	UC
ليس	ليس	UC
في	في	UC
قريتي	قريتي	UC
أحد	أحد	UC
تخصص	تخصص	UC
في	في	UC
الشريعة	الشريعة	UC
كي	كي	UC
يدرس	يدرس	UC
ويساعد	ويساعد	UC
آهل	أهل	REPLACE_OH
قريتي	قريتي	UC
وأساعدهم	وأساعدهم	UC
وأبلغهم	وأبلغهم	UC
ما	ما	UC
عندي	عندي	UC
من	من	UC
المعلومات	المعلومات	UC
الجيدة	الجيدة	UC
مطيعا	مطيعا	UC
لقول	لقول	UC
النبي	النبي	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
بلغوا	بلغوا	UC
عني	عني	UC
ولو	ولو	UC
آية	آية	UC
أن	إن	REPLACE_OH
شاء	شاء	UC
الله	الله	UC
تعالى	تعالى	UC

رحلة	رحلة	UC
من	من	UC
الصين	الصين	UC
إلى	إلى	UC
المملكة	المملكة	UC
العربية	العربية	UC
السعودية	السعودية	UC
في	في	UC
سنة	سنة	UC
1433ه	1433 ه	SPLIT
كنت	كنت	UC
أدرس	أدرس	UC
في	في	UC
معهد	معهد	UC
دراسات	دراسات	UC
الإسلامية	الإسلامية	UC
الصين	الصين	UC
عرفت	عرفت	UC
أنني	أنني	UC
مقبول	مقبول	UC
بجامعة	بجامعة	UC
الأمام	الإمام	REPLACE_OH
محمد	محمد	UC
بن	بن	UC
سعود	سعود	UC
الإسلامية	الإسلامية	UC
خلال	خلال	UC
الدراسة	الدراسة	UC
بعد	بعد	UC
ذلك	ذلك	UC
أستعد	أستعديت	REPLACE_OM
لهذه	لهذه	UC
الرحلة	الرحلة	UC
معي	ومعي	REPLACE_MI
أصدقائي	أصدقائي	UC
هم	هم	UC
مقبولون	مقبولون	UC
أيضا	أيضا	UC
يوم	يوم	UC
30	30	UC
من	من	UC
سبتمبر	سبتمبر	UC
بدأنا	بدأنا	UC
في	في	UC
هذه	هذه	UC
الرحلة	الرحلة	UC
أولا	أولا	UC
ركبنا	ركبنا	UC
بالطائرة	بالطائرة	UC
من	من	UC
مدينة	مدينة	UC
كنسغ	كنسغ	UC
منغ	منغ	UC
إلى	إلى	UC
مدينة	مدينة	UC
كينوا	كينوا	UC
بالصين	بالصين	UC
ثم	ثم	UC
إلى	إلى	UC
مدينة	مدينة	UC
الرياض	الرياض	UC
عاصمة	عاصمة	UC
المملكة	المملكة	UC
العربية	العربية	UC
السعودية	السعودية	UC
هذه	هذه	UC
الرحلة	الرحلة	UC
إلى	إلى	UC
بلاد	بلد	REPLACE_XN
آخر	أخرى	REPLACE_SW
	كانت	INSERT_XM
رحلة	الرحلة	REPLACE_XF
أولى	الأولى	REPLACE_XF
بالنسبة	بالنسبة	UC
إلينا	إلينا	UC
هذه	هذه	UC
فرصة	فرصة	UC
لنعرف	لنعرف	UC
العالم	العالم	UC
قبل	قبل	UC
ذلك	ذلك	UC
ما	ما	UC
ركبنا	ركبنا	UC
بالطائرة	بالطائرة	UC
من	من	UC
أين	وقت	REPLACE_SW
السعود	الصعود	REPLACE_OR
خلال	وخلال	REPLACE_MI
هذا	هذا	UC
الوقت	الوقت	UC
تواجهنا	واجهتنا	REPLACE_MT
الصعوبات	الصعوبات	UC
ولكن	ولكن	UC
يساعد	ساعد	REPLACE_MT
بعضنا	بعضنا	UC
من		DELETE_XM
بعض	بعضا	REPLACE_XC+REPLACE_XN
الحمد	الحمد	UC
لله	لله	UC
الله	الله	UC
حفظنا	حفظنا	UC
في	في	UC
هذه	هذه	UC
الرحلة	الرحلة	UC
وصلنا	وصلنا	UC
إلى	إلى	UC
السعودية	السعودية	UC
بالسلامة	بالسلامة	UC
لمدة	بعد	REPLACE_SW
تسع	تسع	UC
ساعات	ساعات	UC
عندما	عندما	UC
خرجنا	خرجنا	UC
من	من	UC
المطار	المطار	UC
أنظر	انتظر	REPLACE_OH+REPLACE_OM
أخونا	أخونا	UC
كثيرا	كثيرا	UC
رأيناه	رأيناه	UC
كما	كما	UC
رأينا	رأينا	UC
أمهاتنا	أمهاتنا	UC
هو	هو	UC
راكبنا	أقلنا	REPLACE_SW
بالسيارة	بالسيارة	UC
ويعرفنا	وعرفنا	REPLACE_MT
	على	INSERT_XM
المملكة	المملكة	UC
العربية	العربية	UC
السعودية	السعودية	UC
والرياض	والرياض	UC
عندما	عندما	UC
وصلنا	وصلنا	UC
إلى	إلى	UC
جامعة	جامعة	UC
الأميرة	الأميرة	UC
نورة	نورة	UC
عجبت	أعجبت	REPLACE_OM
بهذه	بهذه	UC
الجامعة	الجامعة	UC
هذا	إنها	REPLACE_SW
الجامعة	الجامعة	UC
كبري	الكبرى	REPLACE_SW
في	في	UC
العالم	العالم	UC
للبنات	للبنات	UC
بعد	بعد	UC
نسف	نصف	REPLACE_OR
ساعة	ساعة	UC
وصلنا	وصلنا	UC
	إلى	INSERT_XM
جامعتنا	جامعتنا	UC
جامعتنا	جامعتنا	UC
جميلة	جميلة	UC
واسع	وواسعة	REPLACE_XG
بسبب	بسبب	UC
الرحلة	الرحلة	UC
شعرت	شعرت	UC
بالتعب	بالتعب	UC
والنعاس	والنعاس	UC
فنمنت	فنمنت	UC
مع	مع	UC
أصدقائي	أصدقائي	UC
الآخرين	الأخرين	REPLACE_OH
اليوم	اليوم	UC
التالي	التالي	UC
بدأت	بدأت	UC
رحلتي	رحلتي	UC
في	في	UC
السعودية	السعودية	UC

الرحلة	رحلتي	REPLACE_XF+REPLACE_XM
في	في	UC
الأردن	الأردن	UC
قبل	قبل	UC
جئت	أن	REPLACE_SW
	آتي	INSERT_XM
إلى	إلى	UC
المملكة	المملكة	UC
العربية	العربية	UC
السعودية	السعودية	UC
قضيت	قضيت	UC
الشهرين	شهرين	REPLACE_XF
في	في	UC
أردن	الأردن	REPLACE_XF
أظن	أظن	UC
أن	أن	UC
هذا	هذا	UC
البلد	البلد	UC
جميلا	جميل	REPLACE_XC
جدا	جدا	UC
في	في	UC
البداية	البداية	UC
لا	لم أكن	UNK
أتكلم	أتكلم	UC
اللغة	اللغة	UC
العربية	العربية	UC
كثيرا	كثيرا	UC
ولا	ولا	UC
أتكلم	أتكلم	UC
اللغة	اللغة	UC
الانجلزية	الإنجليزية	REPLACE_OH+REPLACE_OM
أيضا	أيضا	UC
أنا	فأنا	REPLACE_SF
في	في	UC
المعهد	معهد	REPLACE_XF
لتعليم	لتعليم	UC
اللغة	اللغة	UC
العربية	العربية	UC
اليوم	في يوم	UNK
من	من	UC
الأيام	الأيام	UC
قال	قال	UC
صديقي	صديقي	UC
لي	لي	UC
نزور	نزور	UC
إلى		DELETE_XM
البحر	البحر	UC
الميت	الميت	UC
والبحر	والبحر	UC
الأحمر	الأحمر	UC
نوافقه	فوافقت	REPLACE_OR+REPLACE_OT
بعد	بعد	UC
ذلك	ذلك	UC
نستعد	استعدينا	REPLACE_MT
لزيارتهما	لزيارتهما	UC
نختار	اخترنا	REPLACE_MT
اليوم	اليوم	UC
الذي	الذي	UC
عندنا	عندنا	UC
وقت	وقت	UC
فاض	فاض	UC
فيه	فيه	UC
ننطلق	انطلقنا	REPLACE_MT
من	من	UC
الساعة	الساعة	UC
السابعة	السابعة	UC
صباحا	صباحا	UC
ونبحث	وبحثنا	REPLACE_MT
عن	عن	UC
السيارة	سيارة	REPLACE_XF
إلى	إلى	UC
البحر	البحر	UC
الميت	الميت	UC
لكن	لكن	UC
السعر	السعر	UC
	كان	INSERT_XM
غال	غاليا	REPLACE_XC
جدا	جدا	UC
في	في	UC
النهاية	النهاية	UC
نبحث	بحثنا	REPLACE_MT
عن	عن	UC
الحافلة	حافلة	REPLACE_XF
السعر	فسعرها	REPLACE_SW
مناسب	مناسب	UC
لنا	لنا	UC
عندما	عندما	UC
وصلنا	وصلنا	UC
إلى	إلى	UC
البحر	البحر	UC
الميت	الميت	UC
نشعر	شعرنا	REPLACE_MT
بجمالها	بجماله	REPLACE_MI
ونحبها	وأحببناه	REPLACE_MT+REPLACE_XG
كثيرا	كثيرا	UC
جدا	جدا	UC
نرى	رأينا	REPLACE_MT
كثيرا	كثيرا	UC
من	من	UC
الناس	الناس	UC
يلعبون	يلعبون	UC
ويسبحون	ويسبحون	UC
في	في	UC
البحر	البحر	UC
الناس	الناس	UC
الذي	الذين	REPLACE_XN
يجيئون	يجيئون	UC
من	من	UC
الأماكن	الأماكن	UC
المختلفة	المختلفة	UC
يجبها	أحبوه	REPLACE_SW
أيضا	أيضا	UC
نحن	نحن	UC
مسرورون	مسرورون	UC
بزيارتها	بزيارته	REPLACE_MI
بعد	بعد	UC
نهاية	نهاية	UC
الزيارة	الزيارة	UC
نلتقى	وجدنا	REPLACE_SW
المشكلة	مشكلة	REPLACE_XF
هي	وهي	REPLACE_MI
مشكلة	مشكلة	UC
عن		DELETE_XM
السكن	السكن	UC
في	في	UC
الليل	الليل	UC
ونبدأ أن	وبدأنا	REPLACE_S
نبحث	نبحث	UC
	عن	INSERT_XM
الفندق	الفندق	UC
لا	لا	UC
ندري	ندري	UC
	ذلك	INSERT_XM
الفندق	الفندق	UC
الذي		DELETE_XM
أين	أين	UC
يقع	يقع	UC
فيه		DELETE_XM
ونسأل	وسألنا	REPLACE_MT
الناس	الناس	UC
ونبحث	وبحثنا	REPLACE_MT
من	من	UC
الصعب	الصعب	UC
أن	أن	UC
نتحدث	نتحدث	UC
مع	مع	UC
الناس	الناس	UC
بسبب	بسبب	UC
	أننا	INSERT_XM
لا	لا	UC
نجيد	نجيد	UC
اللغة	اللغة	UC
العربية	العربية	UC
واللغة	واللغة	UC
الانجلزية	الإنجليزية	REPLACE_OH+REPLACE_OM
في	في	UC
الأخير	الأخير	UC
	وجدنا	INSERT_XM
الشخص	الشخص	UC
يفهم	الذي فهم	UNK
ماذا	ماذا	UC
نريد	نريد	UC
وشيرينا	وأرشدنا	REPLACE_SW
	إلى	INSERT_XM
الطريق	الطريق	UC
إلى	إلى	UC
الفندق	الفندق	UC
ونقضي	وقضينا	REPLACE_MT
الليل	الليل	UC
الجميل	الجميل	UC
اليوم	اليوم	UC
التالي	التالي	UC
نقرر	قررنا	REPLACE_MT
أن	أن	UC
نزور	نزور	UC
البحر	البحر	UC
الأحمر	الأحمر	UC
ونركب	وركبنا	REPLACE_MT
الحافلة	الحافلة	UC
إلى	إلى	UC
مدينة	مدينة	UC
عقبة	العقبة	REPLACE_XF
هذه	هذه	UC
المدينة	المدينة	UC
ليست	ليست	UC
بعيدة	بعيدة	UC
عننا	عنا	REPLACE_OD
عندما	عندما	UC
وصلنا	وصلنا	UC
إلى	إلى	UC
المدينة	المدينة	UC
في	في	UC
الأول	الأول	UC
نبحث	بحثنا	REPLACE_MT
عن	عن	UC
الفندق	الفندق	UC
للرياح	للراحة	REPLACE_OD+REPLACE_OM
والنوم	والنوم	UC
الآن	الآن	UC
عندنا	عندنا	UC
خبرة	خبرة	UC
لإكمال	لإكمال	UC
هذه	هذه	UC
الأشياء	الأشياء	UC
بعد	بعد	UC
	ذلك	INSERT_XM
نضع	وضعنا	REPLACE_MT
حقائبنا	حقائبنا	UC
في	في	UC
الفندق	الفندق	UC
ونذهب	وذهبنا	REPLACE_MT
إلى	إلى	UC
البحر	البحر	UC
الأحمر	الأحمر	UC
البحر	البحر	UC
الأحمر	الأحمر	UC
ليس	ليس	UC
ماء البحر	ماؤه	UNK
أزرق	أزرقا	REPLACE_XN
جدا	جدا	UC
نستطيع	نستطيع	UC
أن	أن	UC
نجد	نرى	REPLACE_SW
السمك	السمك	UC
فيه	فيه	UC
وعددهم	وعدده	REPLACE_MI
كثيرة	كبير	REPLACE_OR+REPLACE_XG
شكلهم	وأشكاله	REPLACE_SW
مختلف	مختلفة	REPLACE_XG
ويسبحون	ويسبح	REPLACE_XN
في	في	UC
البحر	البحر	UC
حرا	حرا	UC
نحن	نحن	UC
نلعب	لعبنا	REPLACE_MT
ونسبح	وسبحنا	REPLACE_MT
فيه	فيه	UC
نقضي	قضينا	REPLACE_MT
اليوم	يوما	REPLACE_XF
الحلو	حلوا	REPLACE_XF
والجميل	وجميلا	REPLACE_XF
اليوم	اليوم	UC
الثاني	الثاني	UC
نقرر	قررنا	REPLACE_MT
أن	أن	UC
نرجع	نرجع	UC
نشعر	شعرنا	REPLACE_MT
بسرور	بسرور	UC
في	في	UC
هذه	هذه	UC
الرحلة	الرحلة	UC
نتمنى	نتمنى	UC
أن	أن	UC
	يكون	INSERT_XM
عندنا	عندنا	UC
فرصة	فرصة	UC
أخرى	أخرى	UC
لزيارتها	لزيارتها	UC

رحلة	رحلة	UC
إلى	إلى	UC
مصر	مصر	UC
بعد	بعد	UC
حفلة	حفلة	UC
الزواجي	زواجي	REPLACE_OD+REPLACE_XT
أصل	ذهبت	REPLACE_SW
مع	مع	UC
زوجتي	زوجتي	UC
على	إلى	REPLACE_SW
مصر	مصر	UC
كانت	كانت	UC
هذه	هذه	UC
الرحلة	الرحلة	UC
قبل	قبل	UC
ست	ست	UC
السنوات	سنوات	REPLACE_XF
في	في	UC
شهر	شهر	UC
سبتمبر	سبتمبر	UC
ذهبنا	ذهبنا	UC
بالشريكة	بالشركة	REPLACE_OD
مكتب	مكتب	UC
خاصة	خاصة	UC
للرحلة	بالرحلات	REPLACE_XN
اسمها	اسمها	UC
سبيرت	سبيرت	UC
تراول	تراول	UC
من	من	UC
عاصمة	عاصمة	UC
صربيا	صربيا	UC
ما	ما	UC
عندنا	عندنا	UC
كثير	كثير	UC
	من	INSERT_XM
الوقت	الوقت	UC
للستعداد	للاستعداد	REPLACE_OH+REPLACE_OM
بسبب	بسبب	UC
خفلة	الحفلة	REPLACE_SW
آخذنا	أخذنا	REPLACE_OH
بعض	بعض	UC
الملابس	الملابس	UC
وحقائب	والحقائب	REPLACE_XF
جوازات	جوازات	UC
السفر	السفر	UC
تذكرات	تذاكر	REPLACE_OH+REPLACE_OM+REPLACE_XG
نقود	نقود	UC
وذهبنا	وذهبنا	UC
مباشرة	مباشرة	UC
إلى	إلى	UC
مطار	مطار	UC
نكوله	نيكولا	REPLACE_OM+REPLACE_OR
تسله	تيسلا	REPLACE_OM+REPLACE_OR
في	في	UC
عاصمة	عاصمة	UC
صربيا	صربيا	UC
سافرنا	سافرنا	UC
من	من	UC
مدينتي	مدينتي	UC
نوفي	نوفي	UC
بازار	بازار	UC
إلى	إلى	UC
عاصمة	العاصمة	REPLACE_XF
بسيارة	بالسيارة	REPLACE_XF
ركب	ركب	UC
	معنا	INSERT_XM
أخي	أخي	UC
شقيق	شقيقي	REPLACE_XN
وبعد	وبعد	UC
من	من	UC
عاصمة	العاصمة	REPLACE_XF
إلى	إلى	UC
مصر	مصر	UC
بطايار	بالطائرة	REPLACE_SW
وصلنا	وصلنا	UC
في	إلى	REPLACE_SW
مصر	مصر	UC
في	في	UC
مدينة	مدينة	UC
غرقضة	الغردقة	REPLACE_SW
في	في	UC
فندق	فندق	UC
اسمه	اسمه	UC
رومة	رومة	UC
كان	كان	UC
فندقا	فندقا	UC
ممتازا	ممتازا	UC
كبيراونظيفا	كبيرا ونظيفا	SPLIT
وجدنا	وجدنا	UC
في	في	UC
غرقضة	الغردقة	REPLACE_SW
بحر	بحرا	REPLACE_XC+REPLACE_XN
جميل	جميلا	REPLACE_XC
وشاطيه	شاطؤه	REPLACE_OD+REPLACE_OR
جميل	جميل	UC
ومائه	وماؤه	REPLACE_XC
نظيف	نظيف	UC
وجدنا	وجدنا	UC
الناس	الناس	UC
الطيبون	الطيبين	REPLACE_XC
وجدنا	وجدنا	UC
مراعي	مراعي	UC
كثيرة	كثيرة	UC
من	من	UC
ثقافة	الحضارة	REPLACE_SW
قديمة	القديمة	REPLACE_XF
كان	كان	UC
براميل	براميل	UC
سفر	سفر	UC
ينغه	ينغه	UC
من	من	UC
الوقت	وقت	REPLACE_XF
فرعون	فرعون	UC
آكلنا	أكلنا	REPLACE_OH
فواكه	فواكه	UC
وخضروات	وخضروات	UC
مختلفة	مختلفة	UC
بعد	بعد	UC
بعض	بضعة	REPLACE_SW
أيام	أيام	UC
وجهنا	توجهنا	REPLACE_OM
إلى	إلى	UC
عاصمة	عاصمة	UC
مصر	مصر	UC
قاهرة	القاهرة	REPLACE_XF
فيها	فيها	UC
مساجد	مساجد	UC
كثير	كثيرة	REPLACE_XG
جامعة	الجامعة	REPLACE_XF
مشورة	المشهورة	REPLACE_SW
الأزهر	الأزهر	UC
الناس	الناس	UC
الطيبون	الطيبون	UC
الشوارع	الشوارع	UC
كبيرة	كبيرة	UC
وقصيرة	وقصيرة	UC
جزء	جزء	UC
من	من	UC
مدينة	مدينة	UC
قديمة	قديمة	UC
وجديدة	وجديدة	UC
وجدنا	وجدنا	UC
كثير	كثيرا	REPLACE_XC
من	من	UC
الآثار	الآثار	UC
ثقافية	الثقافية	REPLACE_XF
من	من	UC
وقت	وقت	UC
قديم	قديم	UC
ذهبنا	ذهبنا	UC
إلى	إلى	UC
محل	محال	REPLACE_XN
تجارية	تجارية	UC
وأشترينا	واشترينا	REPLACE_OH
بعض	بعض	UC
الملابس	الملابس	UC
وهداية	والهدايا	REPLACE_OR+REPLACE_XF
للأصدقاء	للأصدقاء	UC
والأقارب	والأقارب	UC
ما	ما	UC
عندنا	عندنا	UC
صعوبات	صعوبات	UC
في	في	UC
هذه	هذه	UC
الرحلة	الرحلة	UC
كانت	كانت	UC
رحلة	رحلة	UC
ممتعة	ممتعة	UC
واستراحة	ومريحة	REPLACE_OD+REPLACE_OR
لنفسنا	لنفوسنا	REPLACE_XN
بعد	بعد	UC
اثنا	اثني	REPLACE_OA
عشر	عشر	UC
يوما	يوما	UC
رجعنا	رجعنا	UC
إلى	إلى	UC
بلدي	بلدي	UC
كلمنا	تكلمنا	REPLACE_OM
مع	مع	UC
الأصدقاء	الأصدقاء	UC
والأقارب	والأقارب	UC
لهذه	في هذه	REPLACE_S
الرحلة	الرحلة	UC
كلهم	كلهم	UC
يريدون	يريدون	UC
أن	أن	UC
يعرفوا	يعرفوا	UC
كيف	كيف	UC
بلد	هي	REPLACE_SW
مصر	مصر	UC
واحد	واحد	UC
من	من	UC
بلدان	البلدان	REPLACE_XF
العربية	العربية	UC
كيف	كيف	UC
ثقافتهم	ثقافتهم	UC
كيف	كيف	UC
طعامهم	طعامهم	UC
كيف	كيف	UC
لغتهم	لغتهم	UC
أهم	أهم	UC
شيء	شيء	UC
لي	عندي	REPLACE_SW
لغة	اللغة	REPLACE_XF
العربية	العربية	UC
حببت	أحببت	REPLACE_OM
لغة	اللغة	REPLACE_XF
العربية	العربية	UC
كثير	كثيرا	REPLACE_XC
وقبل	وقبل	UC
ثلاث	ثلاث	UC
سنوات	سنوات	UC
قدمت	قدمت	UC
أوراق	أوراقي	REPLACE_OM
في	في	UC
جامعة	جامعة	UC
الأمام	الإمام	REPLACE_OH
محمد	محمد	UC
بن	بن	UC
سعود	سعود	UC
الإسلامية	الإسلامية	UC

التخصص	تخصص	REPLACE_XF
أصول	أصول	UC
الدين	الدين	UC
بسم	بسم	UC
الله	الله	UC
الرحمن	الرحمن	UC
الرحيم	الرحيم	UC
الحمد	الحمد	UC
الله	لله	REPLACE_OD
رب	رب	UC
العلمين	العالمين	REPLACE_OH+REPLACE_OM
والصلاة	والصلاة	UC
والسلام	والسلام	UC
	على	INSERT_XM
سيد	سيد	UC
المرسلين	المرسلين	UC
وعلى	وعلى	UC
آله	آله	UC
وصحبة	وصحبه	REPLACE_OT
أجمعين	أجمعين	UC
أما	أما	UC
بعد	بعد	UC
التخصص	التخصص	UC
الذي	الذي	UC
اختار	اختار	UC
إكمال	إكمال	UC
دراسة	الدراسة	REPLACE_XF
	فيه	INSERT_XM
بعد	بعد	UC
محمد	معهد	REPLACE_OR
تعليم	تعليم	UC
اللغة	اللغة	UC
العربية	العربية	UC
هو	هو	UC
التخصص	تخصص	REPLACE_XF
أصول	أصول	UC
الدين	الدين	UC
لأن	لأنه	REPLACE_XM
هو	هو	UC
أصول	أصل	REPLACE_XN
الدين	الدين	UC
ولماذا	ولماذا	UC
اختار	اختار	UC
تخصص	تخصص	UC
أصول	أصول	UC
الدين	الدين	UC
1	1	UC
لأن	لأنه	REPLACE_XM
هو	هو	UC
أساس	أساس	UC
الدين	الدين	UC
2	2	UC
لكيف	لكي	REPLACE_OD
أرف	أعرف	REPLACE_OM
عقيدة	العقيدة	REPLACE_XF
صحيحة	الصحيحة	REPLACE_XF
3	3	UC
وأن	وأن	UC
	الناس	INSERT_XM
في	في	UC
بلدي	بلدي	UC
الناس		DELETE_XM
لا	لا	UC
يعلمون	يعلمون	UC
عن	عن	UC
الدين	الدين	UC
وعقائد	والعقائد	REPLACE_XF
صحيحه	الصحيحة	REPLACE_SW
4	4	UC
يبين	يفرق	REPLACE_SW
بين	بين	UC
عقيدة	عقيدة	UC
لحق	الحق	REPLACE_OH+REPLACE_OM
وباطل	والباطل	REPLACE_XF
5	5	UC
أحب	أحب	UC
هذا	هذا	UC
التخصص	التخصص	UC
6	6	UC
فيه	فيه	UC
القرآن	القرآن	UC
ولسنة	والسنة	REPLACE_OH+REPLACE_OM
7	7	UC
لأنه	لأنه	UC
هام	هام	UC
جدا	جدا	UC
8	8	UC
أصول	أصول	UC
الحياة	الحياة	UC
الدنيا	الدنيا	UC
والآخرة	والآخرة	UC

خطة	خطة	UC
حياتي	حياتي	UC
أني	أني	UC
محب	محب	UC
إلى ديني	لديني	REPLACE_S
وخصصا	وخصوصا	REPLACE_OH+REPLACE_OM
إلى		DELETE_XM
الفقه	الفقه	UC
وما	وما	UC
يدور	يدور	UC
حوله	حوله	UC
كنت	كنت	UC
أميل	أميل	UC
إلى	إلى	UC
كلية	كلية	UC
اللغة	اللغة	UC
العربية	العربية	UC
في	في	UC
بداية	بداية	UC
دراستي	دراستي	UC
وبع	وبعد	REPLACE_OM
استنصاح	استنصاح	UC
من		DELETE_XM
الأساتذة	الأساتذة	UC
غيرت	غيرت	UC
